variable_name,display_name,data_type,original_worksheet,n_unique_values,missing_rate_pct,imputation_strategy,encoding_mapping,sample_values
prep_白蛋白（ALB）,移植前_白蛋白（ALB）,float,pre-test-p,143,0.0,"median (fill=44.6, n=5)",,43.4; 47.5; 44.2
prep_总胆红素（TBIL）,移植前_总胆红素（TBIL）,float,pre-test-p,119,0.0,"median (fill=9.4, n=4)",,16.2; 7.5; 7.8
prep_Γ-谷氨酰基转移酶（γ-GGT）,移植前_Γ-谷氨酰基转移酶（γ-GGT）,float,pre-test-p,201,0.0,"median (fill=27.7, n=4)",,58.6; 32.7; 21.8
prep_直接胆红素（DBIL）,移植前_直接胆红素（DBIL）,float,pre-test-p,46,0.0,"median (fill=1.7, n=6)",,4.6; 1.0; 1.1
prep_碱性磷酸酯酶（ALP）,移植前_碱性磷酸酯酶（ALP）,float,pre-test-p,221,0.0,"median (fill=88.30000000000001, n=5)",,58.4; 86.7; 74.1
prep_检查日期_6,移植前_检查日期_6,date,pre-test-p,204,0.0,"mode (fill=2017-07-11, n=5)",,2017-10-12; 2017-12-07; 2019-02-23
prep_肌酐(CREA),移植前_肌酐(CREA),float,pre-test-p,208,0.0,"median (fill=60.6, n=4)",,41.9; 66.3; 65.4
prep_尿酸（UA）,移植前_尿酸（UA）,float,pre-test-p,234,0.0,"median (fill=325.20000000000005, n=5)",,214.9; 387.2; 424.5
prep_尿素(UREA),移植前_尿素(UREA),float,pre-test-p,184,0.0,"median (fill=4.25, n=4)",,3.47; 4.38; 5.52
prep_检查日期_7,移植前_检查日期_7,date,pre-test-p,203,0.0,"mode (fill=2019-02-13, n=10)",,2017-07-16; 2017-12-07; 2019-02-24
prep_尿蛋白(PRO),移植前_尿蛋白(PRO),categorical,pre-test-p,4,0.0,"mode (fill=（-）, n=10)",0=（+++）; 1=（++）; 2=（+）; 3=（-）,（-）; （++）; （+）
prep_尿白细胞(LEU),移植前_尿白细胞(LEU),categorical,pre-test-p,3,0.0,"mode (fill=（-）, n=10)",0=（+++）; 1=（+）; 2=（-）,（-）; （+）; （+++）
prep_尿红细胞(BLD),移植前_尿红细胞(BLD),categorical,pre-test-p,4,0.0,"mode (fill=（-）, n=10)",0=（+++）; 1=（++）; 2=（+）; 3=（-）,（-）; （+）; （++）
prep_检查日期_8,移植前_检查日期_8,date,pre-test-p,188,0.0,"mode (fill=2018-10-16, n=34)",,2017-09-15; 2018-10-16; 2019-01-12
prep_抗链球菌溶血素“O”（ASO）,移植前_抗链球菌溶血素“O”（ASO）,float,pre-test-p,117,0.0,"median (fill=41.8, n=97)",,102.0; 41.8; 44.4
prep_类风湿因子（RF）,移植前_类风湿因子（RF）,float,pre-test-p,10,0.0,"median (fill=20.0, n=37)",,20.0; 22.6; 24.1
prep_C反应蛋白（CRP）,移植前_C反应蛋白（CRP）,float,pre-test-p,110,0.0,"median (fill=4.5, n=66)",,2.8; 4.5; 2.9
prep_抗环瓜氨酸肽抗体（CCP-Ab）,移植前_抗环瓜氨酸肽抗体（CCP-Ab）,float,pre-test-p,12,0.0,"median (fill=1.0, n=41)",,0.8; 1.0; 0.5
prep_检查日期_9,移植前_检查日期_9,date,pre-test-p,178,0.0,"mode (fill=2017-12-01, n=43)",,2017-09-15; 2017-12-01; 2019-01-12
prep_IgG,移植前_IgG,float,pre-test-p,134,0.0,"median (fill=10.2, n=43)",,10.9; 10.2; 11.4
prep_IgE,移植前_IgE,float,pre-test-p,88,0.0,"median (fill=20.0, n=43)",,67.0; 20.0; 5.0
prep_IgA,移植前_IgA,float,pre-test-p,143,0.0,"median (fill=1.275, n=43)",,3.13; 1.275; 1.47
prep_C3,移植前_C3,float,pre-test-p,83,0.0,"median (fill=0.92, n=63)",,1.04; 0.92; 0.94
prep_IgM,移植前_IgM,float,pre-test-p,122,0.0,"median (fill=0.75, n=43)",,2.29; 0.75; 1.03
prep_C4,移植前_C4,float,pre-test-p,135,0.0,"median (fill=23.2, n=63)",,20.8; 23.2; 26.0
prep_检查日期_10,移植前_检查日期_10,date,pre-test-p,205,0.0,"mode (fill=2019-02-13, n=4)",,2017-10-12; 2017-12-07; 2019-02-23
prep_PT,移植前_PT,float,pre-test-p,51,0.0,"median (fill=10.8, n=5)",,13.0; 8.5; 10.5
prep_INR,移植前_INR,float,pre-test-p,45,0.0,"median (fill=0.93, n=5)",,1.1; 0.73; 0.97
prep_APTT,移植前_APTT,float,pre-test-p,136,0.0,"median (fill=29.1, n=4)",,34.3; 24.6; 30.4
prep_D2-F,移植前_D2-F,float,pre-test-p,99,0.0,"median (fill=0.31, n=76)",,0.65; 0.59; 0.31
prep_检查日期_11,移植前_检查日期_11,date,pre-test-p,182,0.0,"mode (fill=2018-10-16, n=27)",,2017-09-18; 2018-10-16; 2019-01-14
prep_抗核抗体谱,移植前_抗核抗体谱,categorical,pre-test-p,2,0.0,"mode (fill=全阴性, n=27)",0=全阴性; 1=部分阳性,全阴性; 部分阳性
prep_抗核抗体谱备注,移植前_抗核抗体谱备注,categorical,pre-test-p,26,0.0,"mode (fill=ANA滴度1:100, n=217)",0=ANA滴度1:100; 1=ANA滴度1:100阳性; 2=RO-52弱阳性; 3=Ro-52; 4=Ro-52阳性; 5=Ro-52阳性，ANA滴度1:100阳性; 6=抗JO-1抗体; 7=抗NR/VP/SM抗体、RO-52、ANA滴度1:100; 8=抗PM-Scl抗体; 9=抗PM-Scl抗体弱阳性; 10=抗PM-Scl阳性; 11=抗SSA弱阳; 12=抗SSA抗体弱阳性，Ro-52弱阳性，ANA滴度1：100阳性; 13=抗SSA抗体阳性; 14=抗SSA抗体，抗SS-B抗体，ANA滴度1:100阳性; 15=抗dsDNA  弱阳; 16=抗nRNP/SM抗体; 17=抗nRNP/Sm抗体; 18=抗nRNP/Sm抗体、抗Sm抗体; 19=抗scl-70; 20=抗增殖细胞核抗原抗体弱阳性; 21=抗增殖细胞核抗原抗体（阳性），抗线粒体M2亚型抗体（弱阳性）; 22=抗增殖细胞核抗原（抗PCNA）; 23=抗着丝点抗体弱阳性; 24=抗线粒体M2亚型抗体; 25=抗线粒体M2亚型抗体弱阳性,ANA滴度1:100; 抗SSA抗体，抗SS-B抗体，ANA滴度1:100阳性; Ro-52
prep_检查日期_12,移植前_检查日期_12,date,pre-test-p,209,0.0,"mode (fill=2018-01-13, n=7)",,2017-10-28; 2017-12-07; 2018-09-04
prep_HIV,移植前_HIV,categorical,pre-test-p,1,0.0,"mode (fill=阴性, n=7)",0=阴性,阴性
prep_梅毒,移植前_梅毒,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=8)",0=阳性; 1=阴性,阴性; 阳性
prep_HCV,移植前_HCV,categorical,pre-test-p,1,0.0,"mode (fill=阴性, n=7)",0=阴性,阴性
prep_检查日期_13,移植前_检查日期_13,date,pre-test-p,206,0.0,"mode (fill=2018-01-13, n=8)",,2017-10-28; 2017-12-07; 2018-09-04
prep_HBsAg（乙肝表面抗原）,移植前_HBsAg（乙肝表面抗原）,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=9)",0=阳性; 1=阴性,阴性; 阳性
prep_HDVAb（丁肝抗体）,移植前_HDVAb（丁肝抗体）,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=9)",0=阳性; 1=阴性,阴性; 阳性
prep_HBsAb（乙肝表面抗体）,移植前_HBsAb（乙肝表面抗体）,categorical,pre-test-p,2,0.0,"mode (fill=阳性, n=9)",0=阳性; 1=阴性,阳性; 阴性
prep_HEVAb（戊肝抗体）,移植前_HEVAb（戊肝抗体）,categorical,pre-test-p,1,0.0,"mode (fill=阴性, n=11)",0=阴性,阴性
prep_HAVAb（甲肝抗体）,移植前_HAVAb（甲肝抗体）,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=9)",0=阳性; 1=阴性,阴性; 阳性
prep_检查日期_14,移植前_检查日期_14,date,pre-test-p,146,0.0,"mode (fill=2017-10-30, n=71)",,2017-10-30; 2017-10-09; 2018-08-01
prep_巨细胞病毒DNA定量,移植前_巨细胞病毒DNA定量,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=71)",0=阳性; 1=阴性,阴性; 阳性
prep_巨细胞病毒DNA定量备注,移植前_巨细胞病毒DNA定量备注,float,pre-test-p,5,0.0,"median (fill=33.3, n=243)",,33.3; 35.1; 25.4
prep_检查日期_15,移植前_检查日期_15,date,pre-test-p,160,0.0,"mode (fill=2017-10-30, n=57)",,2017-10-30; 2018-08-01; 2017-10-11
prep_EB病毒核酸,移植前_EB病毒核酸,categorical,pre-test-p,2,0.0,"mode (fill=阴性, n=57)",0=阳性; 1=阴性,阴性; 阳性
prep_EB病毒核酸备注,移植前_EB病毒核酸备注,categorical,pre-test-p,33,0.0,"mode (fill=1,30E+003, n=214)","0=1,30E+003; 1=1.02E+004; 2=1.18E+003; 3=1.20E+002; 4=1.29E+003; 5=1.2E+002; 6=1.43E+002; 7=1.43E+003; 8=1.49E+002; 9=1.61E+002; 10=2.03E+002; 11=2.79E+002IU/ml; 12=3.10E+002; 13=3.27E+003; 14=3.46E+004; 15=4.01E+001; 16=4.22E+002; 17=4.47E+003; 18=4.74E+003; 19=5.61E+001; 20=5.85E+002; 21=6.57E+002; 22=7.66E+002; 23=7.79E+003; 24=8.18E+003; 25=8.85E+003; 26=9.41E+002; 27=9.61E+002; 28=9.70E+003; 29=9.82E+002; 30=EB-IgA 4.21AU/ml 、EB-IgG 16.18AU/ml; 31=血1.41E+002; 32=血2.43E+002","1,30E+003; 5.85E+002; 1.49E+002"
prep_检查日期_16,移植前_检查日期_16,date,pre-test-p,180,0.0,"mode (fill=2017-12-01, n=34)",,2017-10-30; 2017-12-01; 2019-01-14
prep_弓形虫抗体,移植前_弓形虫抗体,categorical,pre-test-p,3,0.0,"mode (fill=均阴性, n=34)",0=IgG; 1=IgM; 2=均阴性,均阴性; IgG; IgM
prep_单纯疱疹病毒抗体,移植前_单纯疱疹病毒抗体,categorical,pre-test-p,3,0.0,"mode (fill=IgG, n=34)",0=IgG; 1=IgM; 2=均阴性,IgG; 均阴性; IgM
prep_风疹病毒抗体,移植前_风疹病毒抗体,categorical,pre-test-p,3,0.0,"mode (fill=IgG, n=34)",0=IgG; 1=IgM; 2=均阴性,IgG; 均阴性; IgM
prep_巨细胞病毒抗体,移植前_巨细胞病毒抗体,categorical,pre-test-p,3,0.0,"mode (fill=IgG, n=34)",0=IgG; 1=IgM; 2=均阴性,IgG; 均阴性; IgM
prep_检查日期_17,移植前_检查日期_17,date,pre-test-p,199,0.0,"mode (fill=2017-12-01, n=13)",,2017-09-15; 2017-10-09; 2019-01-13
prep_心电图,移植前_心电图,categorical,pre-test-p,4,0.0,"mode (fill=正常, n=6)",0=异常，无临床意义; 1=异常，有临床意义; 2=未检查; 3=正常,异常，无临床意义; 正常; 未检查
prep_心电图备注,移植前_心电图备注,categorical,pre-test-p,27,0.0,"mode (fill=窦性心动过速, n=177)",0=1.窦性心律；2.房性早搏; 1=T波改变; 2=完全性右束支阻滞; 3=左心室肥大; 4=心动过速; 5=房性早搏; 6=窦性心动过缓; 7=窦性心动过缓伴不齐; 8=窦性心动过速; 9=窦性心动过速，; 10=窦性心动过速，T波改变; 11=窦性心动过速，左心房肥大; 12=窦性心动过速，提示右心房肥大; 13=窦性心动过速，电轴左偏，T波改变; 14=窦性心动过速；左心室肥大; 15=窦性心律; 16=窦性心律不齐; 17=窦性心律不齐，T波改变; 18=窦性心律过缓; 19=窦性心律过速; 20=窦性心律，ST-T改变; 21=窦性心律，T波改变; 22=窦性心律，一度房室传导阻滞; 23=窦性心律，左前分支传导阻滞; 24=窦性心律，电轴右偏; 25=窦性心律，电轴右偏，RV1、V2电压增高; 26=窦性心律，肢导联低电压,窦性心律，T波改变; 窦性心动过速; 窦性心律过速
prep_检查日期_18,移植前_检查日期_18,date,pre-test-p,181,0.0,"mode (fill=2017-12-01, n=38)",,2017-09-15; 2017-10-09; 2019-01-12
prep_心脏超声,移植前_心脏超声,categorical,pre-test-p,4,0.0,"mode (fill=异常，无临床意义, n=11)",0=异常，无临床意义; 1=异常，有临床意义; 2=未检查; 3=正常,异常，无临床意义; 正常; 未检查
prep_心脏超声备注,移植前_心脏超声备注,categorical,pre-test-p,86,0.0,"mode (fill=三尖瓣局限性反流, n=104)",0=1.三尖瓣局限性反流，反流压差稍增光; 1=1.三尖瓣轻度返流，反流压差增高；2.三尖瓣局限性反流；3.左室舒张功能减退。; 2=1.主动脉二尖瓣畸形，微量反流，2.三尖瓣微量返流。诊断先天性心脏病; 3=1.主动脉窦部增宽；2.三尖瓣局限性反流；3.左室舒张功能减退; 4=1.主动脉窦部增宽；2.二尖瓣、三尖瓣局限性反流；3.左室舒张功能减退。; 5=1.主动脉窦部稍增宽；2.三尖瓣局限性反流；3.左室舒张功能减退。; 6=1.二尖瓣、三尖瓣局限性反流；2.左室舒张功能减退。; 7=1.二尖瓣瓣上血流速度增快，局限性反流；2.三尖瓣局限性反流；3.左室舒张功能减退；4.心包腔少量积液。; 8=1.左室舒张功能减退，2.心包腔少量积液; 9=1.左房、左室增大；2.三尖瓣局限性反流，反流压差增高; ... (86 total classes),二尖瓣。三尖瓣局限性反流; 1.二尖瓣、三尖瓣局限性反流；2.左室舒张功能减退。; 三尖瓣局限性反流
prep_检查日期_19,移植前_检查日期_19,date,pre-test-p,191,0.0,"mode (fill=2018-01-12, n=26)",,2017-09-15; 2018-01-12; 2019-01-12
prep_腹部超声,移植前_腹部超声,categorical,pre-test-p,4,0.0,"mode (fill=正常, n=10)",0=异常，无临床意义; 1=异常，有临床意义; 2=未检查; 3=正常,异常，无临床意义; 未检查; 正常
prep_腹部超声备注,移植前_腹部超声备注,categorical,pre-test-p,82,0.0,"mode (fill=脾大, n=133)",0=1.肝实质回声增多，请结合肝功；2.胆囊壁粗糙；3.脾稍大。; 1=1.胆囊壁胆固醇结晶；2.脾大；3.双肾囊肿。; 2=1.胆囊小结节；2脾稍大; 3=1.脂肪肝，2.脾大; 4=1.脾大；2.脾内高回声结节，考虑血管瘤; 5=1.脾稍大2.左肾囊肿; 6=1.脾门处淋巴结肿大        2.胆囊息肉     3.左肾囊肿; 7=1、肝实质回声略增粗；2、胆囊结石; 8=1胰腺腺体回声欠均匀；2腹盆腔积液；3胆囊壁粗糙增厚；4脾大; 9=1，胆囊壁胆固醇结晶2，脾大 ; ... (82 total classes),脂肪肝; 脾大; 肝小囊肿，胆囊结石，脾大
prep_检查日期_20,移植前_检查日期_20,date,pre-test-p,146,0.0,"mode (fill=2019-04-18, n=82)",,2019-04-18; 2017-12-06; 2019-03-22
prep_胸片,移植前_胸片,categorical,pre-test-p,4,0.0,"mode (fill=正常, n=45)",0=异常，无临床意义; 1=异常，有临床意义; 2=未检查; 3=正常,正常; 异常，无临床意义; 未检查
prep_胸片备注,移植前_胸片备注,categorical,pre-test-p,30,0.0,"mode (fill=双肺纹理增多, n=210)","0=1.右下肺感染可能；2.心影轻度增大。; 1=双上肺继发性肺结核可能，左侧膈面抬高，左侧少量胸腔积液; 2=双肺多发磨玻璃模糊影，炎症可能，右肺中叶，左上叶舌段及双下肺纤维灶; 3=双肺感染可能; 4=双肺纹理增多; 5=双肺纹理增多,右肺中叶少许纤维灶; 6=双肺纹理增多，右下肺稍模糊，右下肺见高密度影，; 7=双肺纹理增多，左下肺局部纹理稍模糊; 8=双肺纹理增多，心影增大; 9=双肺纹理增多，模糊; 10=双肺纹理增多，稍模糊; 11=双肺纹理增粗; 12=双肺纹理增粗，肝右后叶结节; 13=双肺纹理模糊; 14=双肺纹理稍增多; 15=双肺纹理稍多。; 16=双飞散在炎症可能; 17=右下肺小片状模糊影; 18=右侧少量胸腔积液不排除; 19=右肺 中叶内侧段，少许条索影，前上纵膈可见斑片状软组织密度影，大约2×4厘米，与邻近心包分界不清，; 20=右肺中下野纤维硬结灶可能; 21=左上肺纤维硬结灶; 22=左上肺野局部浅淡小结节影; 23=左下肋膈角区少许感染可能; 24=左下肺纹理稍模糊; 25=左侧约中量胸腔积液伴左下肺被动性不张或感染可能; 26=左侧胸腔可见片状无肺纹理区，肺组织压缩约5%; 27=左肺感染可能; 28=心影增大; 29=肺纹理增多",双肺纹理增多; 左下肺纹理稍模糊; 双肺纹理增多，左下肺局部纹理稍模糊
prep_检查日期_21,移植前_检查日期_21,date,pre-test-p,202,0.0,"mode (fill=2018-01-26, n=13)",,2017-10-13; 2017-12-05; 2019-01-12
prep_肺CT,移植前_肺CT,categorical,pre-test-p,4,0.0,"mode (fill=异常，无临床意义, n=7)",0=异常，无临床意义; 1=异常，有临床意义; 2=未检查; 3=正常,正常; 异常，无临床意义; 异常，有临床意义
prep_肺CT备注,移植前_肺CT备注,text (free-form),pre-test-p,160,0.0,"mode (fill=脾大, n=86)",skipped (high cardinality (160 unique)),
pred_检查日期,移植后_检查日期,date,pre-test-d,162,0.0,"mode (fill=2018-05-22, n=66)",,2017-09-15; 2018-05-22; 2019-01-11
pred_血红蛋白（HGB）,移植后_血红蛋白（HGB）,float,pre-test-d,59,0.0,"median (fill=145.5, n=65)",,136.0; 145.5; 15.3
pred_白细胞总数（WBC）,移植后_白细胞总数（WBC）,float,pre-test-d,157,0.0,"median (fill=6.195, n=65)",,6.58; 6.195; 5.1
pred_血小板计数（PLT）,移植后_血小板计数（PLT）,integer,pre-test-d,127,0.0,"median (fill=208.0, n=64)",,279.0; 208.0; 95.0
pred_中性粒细胞绝对值（NEUT）,移植后_中性粒细胞绝对值（NEUT）,float,pre-test-d,146,0.0,"median (fill=3.65, n=68)",,3.67; 3.65; 3.36
pred_检查日期_1,移植后_检查日期_1,date,pre-test-d,171,0.0,"mode (fill=2016-12-17, n=57)",,2017-09-15; 2017-12-19; 2019-01-11
pred_ABO,移植后_ABO,categorical,pre-test-d,4,0.0,"mode (fill=O, n=41)",0=A; 1=AB; 2=B; 3=O,O; AB; A
pred_RH,移植后_RH,categorical,pre-test-d,1,0.0,"mode (fill=阳性, n=44)",0=阳性,阳性
pred_检查日期_2,移植后_检查日期_2,date,pre-test-d,131,0.0,"mode (fill=2016-12-17, n=108)",,2016-12-17; 2018-08-09; 2017-10-29
pred_直接抗人球蛋白实验,移植后_直接抗人球蛋白实验,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=112)",0=阳性; 1=阴性,阴性; 阳性
pred_直接抗人球蛋白实验备注,移植后_直接抗人球蛋白实验备注,categorical,pre-test-d,2,0.0,"mode (fill=+, n=245)",0=+; 1=0.5,+; 0.5
pred_抗体筛选实验,移植后_抗体筛选实验,categorical,pre-test-d,1,0.0,"mode (fill=阴性, n=112)",0=阴性,阴性
pred_检查日期_3,移植后_检查日期_3,date,pre-test-d,15,0.0,"mode (fill=2017-05-18, n=232)",,2017-05-18; 2017-06-19; 2018-01-03
pred_铁蛋白,移植后_铁蛋白,float,pre-test-d,15,0.0,"median (fill=65.63, n=232)",,65.63; 372.56; 197.2
pred_检查日期_4,移植后_检查日期_4,date,pre-test-d,153,0.0,"mode (fill=2018-06-23, n=75)",,2017-09-15; 2018-06-23; 2019-01-11
pred_丙氨酸氨基转移酶（ALT）,移植后_丙氨酸氨基转移酶（ALT）,float,pre-test-d,135,0.0,"median (fill=19.6, n=74)",,11.8; 19.6; 13.8
pred_总蛋白（TP）,移植后_总蛋白（TP）,float,pre-test-d,113,0.0,"median (fill=74.15, n=75)",,77.1; 74.15; 77.8
pred_门冬氨酸氨基转移酶(AST),移植后_门冬氨酸氨基转移酶(AST),float,pre-test-d,130,0.0,"median (fill=20.25, n=75)",,23.2; 20.25; 16.9
pred_白蛋白（ALB）,移植后_白蛋白（ALB）,float,pre-test-d,97,0.0,"median (fill=49.75, n=75)",,50.9; 49.75; 48.9
pred_总胆红素（TBIL）,移植后_总胆红素（TBIL）,float,pre-test-d,107,0.0,"median (fill=13.0, n=75)",,13.6; 13.0; 13.2
pred_Γ-谷氨酰基转移酶（γ-GGT）,移植后_Γ-谷氨酰基转移酶（γ-GGT）,float,pre-test-d,139,0.0,"median (fill=20.9, n=76)",,31.4; 20.9; 29.9
pred_直接胆红素（DBIL）,移植后_直接胆红素（DBIL）,float,pre-test-d,43,0.0,"median (fill=2.25, n=75)",,2.3; 2.25; 2.5
pred_碱性磷酸酯酶（ALP）,移植后_碱性磷酸酯酶（ALP）,float,pre-test-d,162,0.0,"median (fill=76.3, n=76)",,184.2; 76.3; 66.0
pred_检查日期_5,移植后_检查日期_5,date,pre-test-d,152,0.0,"mode (fill=2018-06-23, n=75)",,2017-09-15; 2018-06-23; 2019-01-11
pred_肌酐(CREA),移植后_肌酐(CREA),float,pre-test-d,153,0.0,"median (fill=69.25, n=75)",,40.6; 69.25; 90.6
pred_尿酸（UA）,移植后_尿酸（UA）,float,pre-test-d,165,0.0,"median (fill=341.5, n=74)",,365.9; 341.5; 344.7
pred_尿素(UREA),移植后_尿素(UREA),float,pre-test-d,141,0.0,"median (fill=5.11, n=76)",,4.15; 5.11; 6.29
pred_检查日期_6,移植后_检查日期_6,date,pre-test-d,144,0.0,"mode (fill=2017-07-17, n=89)",,2017-09-16; 2017-07-17; 2019-01-11
pred_尿蛋白(PRO),移植后_尿蛋白(PRO),categorical,pre-test-d,4,0.0,"mode (fill=（-）, n=87)",0=（+++）; 1=（++）; 2=（+）; 3=（-）,（-）; （+++）; （+）
pred_尿白细胞(LEU),移植后_尿白细胞(LEU),categorical,pre-test-d,4,0.0,"mode (fill=（-）, n=87)",0=（+++）; 1=（++）; 2=（+）; 3=（-）,（-）; （++）; （+）
pred_尿红细胞(BLD),移植后_尿红细胞(BLD),categorical,pre-test-d,4,0.0,"mode (fill=（-）, n=88)",0=（+++）; 1=（++）; 2=（+）; 3=（-）,（-）; （+++）; （+）
pred_检查日期_7,移植后_检查日期_7,date,pre-test-d,150,0.0,"mode (fill=2018-03-20, n=82)",,2017-09-15; 2018-03-20; 2019-01-12
pred_抗链球菌溶血素“O”（ASO）,移植后_抗链球菌溶血素“O”（ASO）,float,pre-test-d,102,0.0,"median (fill=46.4, n=114)",,31.7; 46.4; 20.0
pred_类风湿因子（RF）,移植后_类风湿因子（RF）,float,pre-test-d,8,0.0,"median (fill=20.0, n=83)",,20.0; 46.6; 220.0
pred_C反应蛋白（CRP）,移植后_C反应蛋白（CRP）,float,pre-test-d,42,0.0,"median (fill=1.9, n=113)",,2.0; 1.9; 2.4
pred_抗环瓜氨酸肽抗体（CCP-Ab）,移植后_抗环瓜氨酸肽抗体（CCP-Ab）,float,pre-test-d,10,0.0,"median (fill=0.5, n=83)",,0.5; 1.0; 1.3
pred_检查日期_8,移植后_检查日期_8,date,pre-test-d,138,0.0,"mode (fill=2016-12-17, n=98)",,2017-09-15; 2016-12-17; 2019-01-12
pred_IgG,移植后_IgG,float,pre-test-d,86,0.0,"median (fill=11.8, n=98)",,31.7; 11.8; 9.83
pred_IgE,移植后_IgE,integer,pre-test-d,92,0.0,"median (fill=47.0, n=99)",,209.0; 47.0; 81.0
pred_IgA,移植后_IgA,float,pre-test-d,118,0.0,"median (fill=2.045, n=99)",,2.48; 2.045; 2.39
pred_C3,移植后_C3,float,pre-test-d,60,0.0,"median (fill=0.91, n=114)",,0.91; 0.86; 0.67
pred_IgM,移植后_IgM,float,pre-test-d,109,0.0,"median (fill=1.24, n=98)",,3.55; 1.24; 2.71
pred_C4,移植后_C4,float,pre-test-d,99,0.0,"median (fill=19.4, n=115)",,19.4; 22.1; 10.7
pred_检查日期_9,移植后_检查日期_9,date,pre-test-d,157,0.0,"mode (fill=2018-05-22, n=70)",,2017-09-15; 2018-05-22; 2019-01-11
pred_PT,移植后_PT,float,pre-test-d,37,0.0,"median (fill=10.9, n=69)",,13.2; 10.9; 9.4
pred_INR,移植后_INR,float,pre-test-d,35,0.0,"median (fill=0.95, n=69)",,1.14; 0.95; 0.8
pred_APTT,移植后_APTT,float,pre-test-d,107,0.0,"median (fill=26.9, n=68)",,29.3; 26.9; 27.7
pred_D2-F,移植后_D2-F,float,pre-test-d,47,0.0,"median (fill=0.13, n=148)",,0.13; 0.06; 0.04
pred_检查日期_10,移植后_检查日期_10,date,pre-test-d,141,0.0,"mode (fill=2018-01-03, n=77)",,2017-09-18; 2018-01-03; 2019-01-14
pred_抗核抗体谱,移植后_抗核抗体谱,categorical,pre-test-d,2,0.0,"mode (fill=全阴性, n=77)",0=全阴性; 1=部分阳性,全阴性; 部分阳性
pred_抗核抗体谱备注,移植后_抗核抗体谱备注,categorical,pre-test-d,23,0.0,"mode (fill=RO-52, n=223)",0=AHA; 1=AHA弱阳性; 2=AMA-M2; 3=ANA滴度1:100阳性; 4=ANA滴度1:100阳性1+; 5=ANA滴度1:100阳性，ANA滴度1:320阳性; 6=ANA滴度1:100，弱阳性; 7=RO-52; 8=抗Jo-1抗体弱阳性; 9=抗PCNA; 10=抗PM-SCL; 11=抗PM-Scl抗体弱阳性; 12=抗PM-Scl抗体阳性，ANA滴度1:100阳性; 13=抗PM-scl; 14=抗PM-scl抗体 弱阳性; 15=抗nRNP/Sm抗体; 16=抗nRNP/Sm抗体，ANA滴度1:100阳性; 17=抗scl-70抗体; 18=抗增殖细胞核抗原抗体阳性; 19=抗核糖体P蛋白抗体阳性; 20=抗着丝点抗体; 21=抗着丝点抗体弱阳性; 22=抗着丝点抗体阳性,RO-52; 抗nRNP/Sm抗体，ANA滴度1:100阳性; 抗着丝点抗体弱阳性
pred_检查日期_11,移植后_检查日期_11,date,pre-test-d,163,0.0,"mode (fill=2018-05-22, n=52)",,2017-09-15; 2017-12-19; 2019-01-11
pred_HIV,移植后_HIV,categorical,pre-test-d,1,0.0,"mode (fill=阴性, n=40)",0=阴性,阴性
pred_梅毒,移植后_梅毒,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=38)",0=阳性; 1=阴性,阴性; 阳性
pred_HCV,移植后_HCV,categorical,pre-test-d,1,0.0,"mode (fill=阴性, n=44)",0=阴性,阴性
pred_检查日期_12,移植后_检查日期_12,date,pre-test-d,165,0.0,"mode (fill=2018-05-22, n=54)",,2017-09-15; 2017-12-19; 2019-01-11
pred_HBsAg（乙肝表面抗原）,移植后_HBsAg（乙肝表面抗原）,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=42)",0=阳性; 1=阴性,阴性; 阳性
pred_HDVAb（丁肝抗体）,移植后_HDVAb（丁肝抗体）,categorical,pre-test-d,1,0.0,"mode (fill=阴性, n=42)",0=阴性,阴性
pred_HBsAb（乙肝表面抗体）,移植后_HBsAb（乙肝表面抗体）,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=42)",0=阳性; 1=阴性,阴性; 阳性
pred_HEVAb（戊肝抗体）,移植后_HEVAb（戊肝抗体）,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=42)",0=阳性; 1=阴性,阴性; 阳性
pred_HAVAb（甲肝抗体）,移植后_HAVAb（甲肝抗体）,categorical,pre-test-d,1,0.0,"mode (fill=阴性, n=42)",0=阴性,阴性
pred_检查日期_13,移植后_检查日期_13,date,pre-test-d,92,0.0,"mode (fill=2017-06-16, n=143)",,2017-09-18; 2017-06-16; 2018-08-09
pred_巨细胞病毒DNA定量,移植后_巨细胞病毒DNA定量,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=134)",0=阳性; 1=阴性,阴性; 阳性
pred_巨细胞病毒DNA定量备注,移植后_巨细胞病毒DNA定量备注,integer,pre-test-d,1,0.0,"median (fill=209.0, n=246)",,209.0
pred_检查日期_14,移植后_检查日期_14,date,pre-test-d,115,0.0,"mode (fill=2016-12-17, n=123)",,2017-09-18; 2016-12-17; 2018-08-09
pred_EB病毒核酸,移植后_EB病毒核酸,categorical,pre-test-d,2,0.0,"mode (fill=阴性, n=124)",0=阳性; 1=阴性,阴性; 阳性
